INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por tamaño de localidad, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 7
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;2 500-4 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;5.011;4.628;3.724;783;41;80;352;31
14 Jalisco;2 500-4 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.637;1.478;987;416;18;57;153;6
14 Jalisco;2 500-4 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;786;541;376;135;21;9;235;10
14 Jalisco;2 500-4 999 habitantes;Total;Agua de pipa;327;279;129;148;1;1;40;8
14 Jalisco;2 500-4 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;1.639;1.495;1.049;375;6;65;135;9
14 Jalisco;2 500-4 999 habitantes;Total;No especificado;278;80;73;6;0;1;12;186
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;Total;74.953;73.316;67.500;4.644;343;829;1.365;272
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;65.739;65.015;61.276;2.854;264;621;586;138
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;4.902;4.555;3.678;760;39;78;321;26
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.605;1.461;976;412;16;57;139;5
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;657;479;337;116;17;9;170;8
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;Agua de pipa;313;274;126;146;1;1;35;4
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.571;1.455;1.036;351;6;62;108;8
14 Jalisco;2 500-4 999 habitantes;Disponen de energía eléctrica;No especificado;166;77;71;5;0;1;6;83
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;Total;623;413;282;110;14;7;194;16
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;274;224;173;43;6;2;47;3
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;103;68;42;22;2;2;30;5
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);31;16;11;3;2;0;14;1
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;128;61;38;19;4;0;65;2
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;Agua de pipa;14;5;3;2;0;0;5;4
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;65;37;13;21;0;3;27;1
14 Jalisco;2 500-4 999 habitantes;No disponen de energía eléctrica;No especificado;8;2;2;0;0;0;6;0
14 Jalisco;2 500-4 999 habitantes;No especificado;Total;150;46;39;6;0;1;1;103
14 Jalisco;2 500-4 999 habitantes;No especificado;Agua entubada dentro de la vivienda;35;35;34;0;0;1;0;0
14 Jalisco;2 500-4 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;6;5;4;1;0;0;1;0
14 Jalisco;2 500-4 999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;2 500-4 999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;1;1;1;0;0;0;0;0
