INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;025 Colotlán;Total;Total;17.970;17.364;15.690;1.498;45;131;577;29
14 Jalisco;025 Colotlán;Disponen de excusado;Total;17.388;17.220;15.619;1.464;36;101;149;19
14 Jalisco;025 Colotlán;Disponen de excusado;Tiene descarga directa de agua;15.532;15.517;14.370;1.051;34;62;0;15
14 Jalisco;025 Colotlán;Disponen de excusado;Le echan agua con cubeta;1.715;1.651;1.218;402;2;29;64;0
14 Jalisco;025 Colotlán;Disponen de excusado;No se le puede echar agua;50;31;14;7;0;10;19;0
14 Jalisco;025 Colotlán;Disponen de excusado;No especificado;91;21;17;4;0;0;66;4
14 Jalisco;025 Colotlán;No disponen de excusado;Total;577;141;68;34;9;30;428;8
14 Jalisco;025 Colotlán;No especificado;Total;5;3;3;0;0;0;0;2
14 Jalisco;026 Concepción de Buenos Aires;Total;Total;5.921;5.808;5.290;210;64;244;101;12
14 Jalisco;026 Concepción de Buenos Aires;Disponen de excusado;Total;5.788;5.760;5.265;206;46;243;22;6
14 Jalisco;026 Concepción de Buenos Aires;Disponen de excusado;Tiene descarga directa de agua;4.003;4.003;3.756;46;16;185;0;0
14 Jalisco;026 Concepción de Buenos Aires;Disponen de excusado;Le echan agua con cubeta;1.725;1.708;1.494;126;30;58;12;5
14 Jalisco;026 Concepción de Buenos Aires;Disponen de excusado;No se le puede echar agua;53;49;15;34;0;0;3;1
14 Jalisco;026 Concepción de Buenos Aires;Disponen de excusado;No especificado;7;0;0;0;0;0;7;0
14 Jalisco;026 Concepción de Buenos Aires;No disponen de excusado;Total;131;48;25;4;18;1;78;5
14 Jalisco;026 Concepción de Buenos Aires;No especificado;Total;2;0;0;0;0;0;1;1
14 Jalisco;027 Cuautitlán de García Barragán;Total;Total;17.309;12.507;4.274;7.117;1.079;37;4.654;148
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de excusado;Total;12.055;11.654;4.234;6.909;484;27;379;22
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de excusado;Tiene descarga directa de agua;5.355;5.348;3.153;1.982;198;15;0;7
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de excusado;Le echan agua con cubeta;6.471;6.230;1.076;4.860;282;12;226;15
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de excusado;No se le puede echar agua;155;54;3;51;0;0;101;0
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de excusado;No especificado;74;22;2;16;4;0;52;0
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de excusado;Total;5.227;853;40;208;595;10;4.260;114
14 Jalisco;027 Cuautitlán de García Barragán;No especificado;Total;27;0;0;0;0;0;15;12
14 Jalisco;028 Cuautla;Total;Total;2.171;1.958;1.363;556;0;39;212;1
14 Jalisco;028 Cuautla;Disponen de excusado;Total;1.952;1.937;1.351;547;0;39;15;0
14 Jalisco;028 Cuautla;Disponen de excusado;Tiene descarga directa de agua;1.723;1.723;1.293;393;0;37;0;0
14 Jalisco;028 Cuautla;Disponen de excusado;Le echan agua con cubeta;210;205;54;149;0;2;5;0
14 Jalisco;028 Cuautla;Disponen de excusado;No se le puede echar agua;7;5;0;5;0;0;2;0
14 Jalisco;028 Cuautla;Disponen de excusado;No especificado;12;4;4;0;0;0;8;0
14 Jalisco;028 Cuautla;No disponen de excusado;Total;216;18;12;6;0;0;197;1
14 Jalisco;028 Cuautla;No especificado;Total;3;3;0;3;0;0;0;0
14 Jalisco;029 Cuquío;Total;Total;17.658;16.081;9.215;6.331;350;185;1.301;276
14 Jalisco;029 Cuquío;Disponen de excusado;Total;16.296;15.873;9.172;6.188;335;178;376;47
14 Jalisco;029 Cuquío;Disponen de excusado;Tiene descarga directa de agua;9.106;9.087;6.366;2.440;175;106;0;19
